File,OriginalDescription,NewDescription,MissingFields,Status
content/animals/20171104-41.jpg,Canon EOS 5D - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/250 - 4.0 - 160,,,Skipped - already tagged
content/animals/20170816-28.jpg,Canon EOS 5D - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/180 - 4.5 - 800,,,Skipped - already tagged
content/animals/20170818-31-featured.jpg,Canon EOS 5D - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/750 - 4.0 - 100,,,Skipped - already tagged
content/animals/20170818-30.jpg,Canon EOS 5D - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/500 - 4.0 - 160,,,Skipped - already tagged
content/animals/20171208-45.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/320 - 4.0 - 200,,,Skipped - already tagged
content/animals/20171208-43.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/320 - 4.0 - 3200,,,Skipped - already tagged
content/animals/20171208-47.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/400 - 4.0 - 3200,,,Skipped - already tagged
content/animals/20171208-44.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/320 - 4.0 - 3200,,,Skipped - already tagged
content/animals/20171208-50.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/250 - 4.5 - 2500,,,Skipped - already tagged
content/animals/20171208-48.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/125 - 4.0 - 2500,,,Skipped - already tagged
content/animals/20171208-49.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/125 - 4.0 - 3200,,,Skipped - already tagged
content/animals/20180820-65.jpg,Canon EOS 5D Mark II - Canon EF 70-200mm f/4L IS USM - 200.0 mm - 1/50 - 4.0 - 50,,,Skipped - already tagged
content/animals/20240826-85.jpg,X-S10 - XF150-600mm F5.6-8 R LM OIS WR - 420.3 mm - 1/320 - 7.1 - 320,,,Skipped - already tagged
content/animals/20240829-93.jpg,X-S10 - XF150-600mm F5.6-8 R LM OIS WR - 600.0 mm - 1/500 - 8.0 - 1600,,,Skipped - already tagged
content/animals/20240826-88.jpg,X-S10 - XF150-600mm F5.6-8 R LM OIS WR - 600.0 mm - 1/640 - 9.0 - 800,,,Skipped - already tagged
